Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,WAR,playerid
Gene Desautels,- - -,712,2310,3,211,187,12,10.0 %,7.3 %,.052,.253,.233,.315,.285,.291,60,-0.7,1003227
Bill Russell,Dodgers,2153,8021,46,796,627,167,6.0 %,8.3 %,.074,.282,.263,.310,.338,.291,82,28.2,1011311
Aleck Smith,- - -,287,1012,1,107,130,37,2.6 %, ,.058,.000,.264,.288,.321,.291,69,-1.6,1012087
John Flaherty,- - -,997,3640,80,319,395,10,4.8 %,14.1 %,.125,.274,.252,.290,.377,.291,71,3.1,1206
Charlie Carr,- - -,507,2093,6,185,240,49,3.4 %,9.7 %,.077,.322,.252,.280,.329,.291,81,2.3,1001985
Kevin Jordan,Phillies,553,1508,23,138,175,2,4.8 %,12.0 %,.106,.279,.258,.297,.363,.291,67,-2.0,1006610
Frank Bowerman,- - -,1045,3648,13,343,392,81,3.5 %,0.0 %,.064,.118,.251,.287,.314,.291,78,3.8,1001253
Jerry Grote,- - -,1402,4844,39,352,404,15,8.2 %,12.4 %,.074,.282,.252,.316,.326,.291,83,16.3,1005092
Jim Connor,Colts,293,1180,3,117,129,27,7.2 %,19.4 %,.061,.074,.233,.296,.295,.291,68,1.0,1002528
Tom Pagnozzi,Cardinals,902,3142,44,247,320,18,6.0 %,14.3 %,.106,.284,.253,.299,.359,.291,77,10.6,1009960
Luis Sojo,- - -,801,2773,36,300,261,28,4.5 %,7.1 %,.091,.271,.261,.297,.352,.291,71,2.2,1834
Dave Duncan,- - -,921,3190,109,274,341,5,7.9 %,21.2 %,.144,.240,.214,.279,.357,.291,85,7.2,1003552
Doug Clemens,- - -,451,1057,12,99,88,6,10.8 %,15.7 %,.091,.266,.229,.317,.321,.291,80,-0.4,1002335
Dave Rosello,- - -,359,1014,10,114,76,5,10.7 %,14.3 %,.077,.269,.236,.318,.313,.291,72,-3.6,1011206
Carlos Hernandez,- - -,442,1337,24,102,141,5,4.7 %,14.7 %,.100,.282,.253,.298,.354,.291,77,1.3,1005696
Alex Grammas,- - -,913,2348,12,236,163,17,8.8 %,8.2 %,.070,.266,.247,.318,.317,.290,67,5.6,1004941
Walter Barbare,- - -,500,1954,1,173,156,37,4.5 %,6.2 %,.055,.279,.260,.297,.315,.290,69,1.5,1000523
Oscar Walker,- - -,282,1165,11,155,51,0,2.9 %,13.0 %,.111,.297,.254,.278,.365,.290,106,4.4,1013530
John Russell,- - -,421,1189,34,113,129,3,7.1 %,29.9 %,.145,.298,.225,.282,.371,.290,78,-2.5,1011317
Jamie Quirk,- - -,919,2507,43,193,247,5,7.1 %,17.4 %,.107,.277,.240,.298,.347,.290,78,1.6,1010621
Walter Schmidt,- - -,766,2635,3,216,234,57,5.2 %,4.0 %,.046,.267,.257,.301,.303,.290,69,3.1,1011588
Leo Durocher,- - -,1637,5827,24,575,567,31,6.5 %,8.2 %,.074,.267,.247,.299,.320,.290,65,4.8,1003596
Coco Laboy,Expos,420,1374,28,108,166,0,7.1 %,16.0 %,.120,.260,.233,.289,.354,.290,75,-1.0,1007231
Josh Barfield,- - -,309,1075,16,133,112,35,4.1 %,17.5 %,.112,.307,.264,.295,.375,.290,75,1.1,3622
Julio Cruz,- - -,1131,4438,23,557,279,343,10.8 %,11.4 %,.061,.266,.237,.321,.299,.290,75,14.1,1002842
Hobe Ferris,- - -,1287,5111,40,473,550,89,3.2 %, ,.102,.000,.239,.265,.341,.290,83,14.7,1004013
Billy Cowan,- - -,493,1253,40,131,125,17,4.0 %,23.7 %,.151,.282,.236,.269,.387,.290,82,-0.2,1002688
Larry Stahl,- - -,730,1889,36,167,163,22,7.5 %,18.9 %,.119,.272,.232,.292,.351,.290,85,1.9,1012383
Mike de la Hoz,- - -,494,1193,25,116,115,2,4.7 %,10.9 %,.114,.263,.251,.290,.365,.290,81,1.4,1003159
Charlie James,- - -,510,1479,29,158,172,7,3.2 %,17.6 %,.115,.293,.255,.283,.369,.290,71,-0.3,1006346
Eddie Pellagrini,- - -,563,1587,20,167,133,13,8.1 %,12.7 %,.090,.250,.226,.295,.316,.290,60,-2.9,1010133
Ken Reitz,- - -,1333,5079,68,366,548,10,3.6 %,10.2 %,.099,.277,.260,.290,.359,.290,76,3.2,1010823
Tom Poorman,- - -,496,2161,12,396,172,165,4.7 %,13.8 %,.092,.274,.244,.285,.335,.290,91,4.3,1010438
Denny Sullivan,- - -,255,1041,1,106,51,30,5.7 %, ,.048,.000,.239,.296,.286,.290,87,2.2,1012689
Terry Francona,- - -,648,1827,16,163,143,12,3.6 %,6.5 %,.077,.285,.274,.300,.351,.290,79,-1.7,1004292
Don Hahn,- - -,424,1149,7,104,74,11,10.6 %,13.8 %,.067,.271,.236,.319,.303,.290,79,-0.7,1005202
Scot Thompson,- - -,580,1391,5,132,110,17,7.0 %,10.1 %,.067,.288,.262,.312,.328,.290,74,-4.1,1013025
